url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77251,shopee-return-refund-policy,Chính sách trả hàng và hoàn tiền,buyer,return-refund,vi,2026-09,public-source
https://help.shopee.vn/portal/4/article/188931,shopee-return-regulation,Quy định chung về trả hàng/hoàn tiền,buyer,return-refund,vi,2026-09,public-source
https://help.shopee.vn/portal/4/article/190242,shopee-return-claim-process,Quy trình xử lý yêu cầu trả hàng/hoàn tiền,buyer,return-refund,vi,2026-09,public-source
https://help.shopee.vn/portal/4/article/189477,shopee-return-shipping-fee,Phương thức gửi hàng hoàn trả và phí hoàn trả,buyer,return-shipping,vi,2026-09,public-source
https://seller-vn.tiktok.com/university/essay?course_type=1&from=search&identity=1&knowledge_id=1766935302801169&role=1,tiktok-return-refund,Trả hàng và hoàn tiền,buyer,return-refund,vi,2026-09,public-source
https://seller-vn.tiktok.com/university/essay?knowledge_id=1220088829724418,tiktok-mall-terms,Điều khoản và điều kiện của Chương trình TikTok Shop Mall,seller,marketplace-policy,vi,2026-09,public-source
https://www.ebay.com/help/policies/ebay/ebay?id=4210,ebay-money-back-guarantee,Money Back Guarantee Policy,buyer,return-refund,en,2026-09,public-source
https://www.ebay.com/help/selling/seller-protection/seller-protection-policy?id=4763,ebay-seller-protection-policy,Seller protection policy,seller,return-refund,en,2026-09,public-source
https://digprjsurvey.amazon.com/csad/help/node/GKM69DUUYKQWKWX7,amazon-return-policy,Amazon Return Policy,buyer,return-refund,en,2026-09,public-source
https://help.etsy.com/hc/en-us/articles/115015440807-How-to-Return-or-Exchange-an-Item-on-Etsy,etsy-return-guide,How to Return or Exchange an Item on Etsy,buyer,return-refund,en,2026-09,public-source
