url,doc_id,title,audience,category,language,document_version,license_or_permission
https://cellphones.com.vn/chinh-sach-bao-hanh,doi-tra-bao-hanh-cellphones-buyer,Chính sách đổi mới và bảo hành thiết bị cho Khách hàng,buyer,warranty-policy,vi,not-stated,public-source
https://lazada.vn/helpcenter/warranty-guide,doi-tra-bao-hanh-lazada-buyer,Hướng dẫn và quy trình bảo hành sản phẩm trên Lazada dành cho Người Mua,buyer,warranty-policy,vi,not-stated,public-source
https://sellercenter.lazada.vn/seller/helpcenter/order-processing-and-return-policy,doi-tra-bao-hanh-lazada-seller,Quy trình xử lý đơn hàng và khiếu nại Trả hàng/Hoàn tiền dành cho Nhà Bán Hàng,seller,order-return-policy,vi,2026-v1,public-source
https://www.samsung.com/vn/support/warranty/,doi-tra-bao-hanh-samsung-buyer,Chính sách bảo hành sản phẩm chính hãng Samsung dành cho Khách hàng,buyer,warranty-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/article/79046,doi-tra-bao-hanh-shopee-buyer,Chính sách và điều kiện bảo hành sản phẩm trên Shopee dành cho Người Mua,buyer,warranty-policy,vi,not-stated,public-source
https://banhang.shopee.vn/edu/article/10626,doi-tra-bao-hanh-shopee-seller,Quy định giải quyết khiếu nại Trả hàng và Hoàn tiền dành cho Người Bán trên Shopee,seller,warranty-policy,vi,2026-v1,public-source
https://baohanhdientu.sunhouse.com.vn/Home/PolicyWarrantyNew,doi-tra-bao-hanh-sunhouse-buyer,Chính sách bảo hành và đổi trả sản phẩm SUNHOUSE dành cho Khách hàng,buyer,warranty-policy,vi,not-stated,public-source
https://www.thegioididong.com/chinh-sach-bao-hanh-san-pham,doi-tra-bao-hanh-tgdd-buyer,Chính sách bảo hành và đổi trả cho Khách hàng - Thế Giới Di Động,buyer,warranty-policy,vi,not-stated,public-source
https://hocvien.tiki.vn/faq/huong-dan-quy-trinh-xu-ly-doi-tra-bao-hanh-mo-hinh-sd/,doi-tra-bao-hanh-tiki-seller,Hướng dẫn quy trình xử lý đổi trả và bảo hành trên Tiki dành cho Nhà Bán,seller,warranty-policy,vi,not-stated,public-source
https://vinfastauto.com/vn_vi/chinh-sach-bao-hanh-xe-may-dien,doi-tra-bao-hanh-vinfast-buyer,Chính sách bảo hành xe máy điện và Pin cho Khách hàng - VinFast,buyer,warranty-policy,vi,not-stated,public-source
